"location","variable","estimate","year","trait1","trait2","trait3","trait4","trait5","trait6"
"Seattle city, Washington","S0802_C01_001",339160,2010,"Estimate","Total","Workers 16 years and over",NA,NA,NA
"Seattle city, Washington","S0802_C01_002",2,2010,"Estimate","Total","Workers 16 years and over","AGE","16 to 19 years",NA
"Seattle city, Washington","S0802_C01_003",9.5,2010,"Estimate","Total","Workers 16 years and over","AGE","20 to 24 years",NA
"Seattle city, Washington","S0802_C01_004",53.6,2010,"Estimate","Total","Workers 16 years and over","AGE","25 to 44 years",NA
"Seattle city, Washington","S0802_C01_005",17.4,2010,"Estimate","Total","Workers 16 years and over","AGE","45 to 54 years",NA
"Seattle city, Washington","S0802_C01_006",8.5,2010,"Estimate","Total","Workers 16 years and over","AGE","55 to 59 years",NA
"Seattle city, Washington","S0802_C01_007",8.9,2010,"Estimate","Total","Workers 16 years and over","AGE","60 years and over",NA
"Seattle city, Washington","S0802_C01_008",38.4,2010,"Estimate","Total","Workers 16 years and over","AGE","Median age (years)",NA
"Seattle city, Washington","S0802_C01_009",51.6,2010,"Estimate","Total","Workers 16 years and over","SEX","Male",NA
"Seattle city, Washington","S0802_C01_010",48.4,2010,"Estimate","Total","Workers 16 years and over","SEX","Female",NA
"Seattle city, Washington","S0802_C01_011",NA,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race",NA
"Seattle city, Washington","S0802_C01_012",74.7,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","White"
"Seattle city, Washington","S0802_C01_013",5.5,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Black or African American"
"Seattle city, Washington","S0802_C01_014",0.7,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","American Indian and Alaska Native"
"Seattle city, Washington","S0802_C01_015",13.6,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Asian"
"Seattle city, Washington","S0802_C01_016",NA,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Native Hawaiian and Other Pacific Islander"
"Seattle city, Washington","S0802_C01_017",1.4,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","One race","Some other race"
"Seattle city, Washington","S0802_C01_018",3.7,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","Two or more races",NA
"Seattle city, Washington","S0802_C01_019",5.3,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","Hispanic or Latino origin (of any race)",NA
"Seattle city, Washington","S0802_C01_020",71.5,2010,"Estimate","Total","Workers 16 years and over","RACE AND HISPANIC OR LATINO ORIGIN","White alone, not Hispanic or Latino",NA
"Seattle city, Washington","S0802_C01_021",83.1,2010,"Estimate","Total","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Native",NA
"Seattle city, Washington","S0802_C01_022",16.9,2010,"Estimate","Total","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born",NA
"Seattle city, Washington","S0802_C01_023",9.4,2010,"Estimate","Total","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born","Naturalized U.S. citizen"
"Seattle city, Washington","S0802_C01_024",7.4,2010,"Estimate","Total","Workers 16 years and over","NATIVITY AND CITIZENSHIP STATUS","Foreign born","Not a U.S. citizen"
"Seattle city, Washington","S0802_C01_025",19.9,2010,"Estimate","Total","Workers 16 years and over","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","Speak language other than English",NA
