"location","variable","estimate","year"
"Washington","S0802_C01_001",3046571,2010
"Washington","S0802_C01_002",3.1,2010
"Washington","S0802_C01_003",9.5,2010
"Washington","S0802_C01_004",44,2010
"Washington","S0802_C01_005",23.6,2010
"Washington","S0802_C01_006",9.8,2010
"Washington","S0802_C01_007",9.9,2010
"Washington","S0802_C01_008",41.9,2010
"Washington","S0802_C01_009",53.4,2010
"Washington","S0802_C01_010",46.6,2010
"Washington","S0802_C01_011",97,2010
"Washington","S0802_C01_012",80.6,2010
"Washington","S0802_C01_013",3.3,2010
"Washington","S0802_C01_014",1.1,2010
"Washington","S0802_C01_015",7.9,2010
"Washington","S0802_C01_016",0.6,2010
"Washington","S0802_C01_017",3.6,2010
"Washington","S0802_C01_018",3,2010
"Washington","S0802_C01_019",9.5,2010
"Washington","S0802_C01_020",75.3,2010
"Washington","S0802_C01_021",84,2010
"Washington","S0802_C01_022",16,2010
"Washington","S0802_C01_023",7.6,2010
"Washington","S0802_C01_024",8.3,2010
"Washington","S0802_C01_025",18.2,2010
"Washington","S0802_C01_026",10,2010
"Washington","S0802_C01_027",8.2,2010
"Washington","S0802_C01_028",3045951,2010
"Washington","S0802_C01_029",13.4,2010
"Washington","S0802_C01_030",7,2010
"Washington","S0802_C01_031",14.8,2010
"Washington","S0802_C01_032",13.4,2010
"Washington","S0802_C01_033",16.8,2010
"Washington","S0802_C01_034",12.3,2010
"Washington","S0802_C01_035",5.3,2010
"Washington","S0802_C01_036",17,2010
"Washington","S0802_C01_037",35898,2010
"Washington","S0802_C01_038",3021245,2010
"Washington","S0802_C01_039",6.3,2010
"Washington","S0802_C01_040",5.7,2010
"Washington","S0802_C01_041",88,2010
"Washington","S0802_C01_042",3046571,2010
"Washington","S0802_C01_043",38.3,2010
"Washington","S0802_C01_044",17.5,2010
"Washington","S0802_C01_045",23,2010
"Washington","S0802_C01_046",9.6,2010
"Washington","S0802_C01_047",11,2010
"Washington","S0802_C01_048",0.7,2010
"Washington","S0802_C01_049",2.6,2010
"Washington","S0802_C01_050",6,2010
"Washington","S0802_C01_051",10.5,2010
"Washington","S0802_C01_052",3.1,2010
"Washington","S0802_C01_053",11.6,2010
"Washington","S0802_C01_054",4.8,2010
"Washington","S0802_C01_055",7.8,2010
"Washington","S0802_C01_056",11.8,2010
"Washington","S0802_C01_057",21.2,2010
"Washington","S0802_C01_058",8.5,2010
"Washington","S0802_C01_059",4.8,2010
"Washington","S0802_C01_060",5.7,2010
"Washington","S0802_C01_061",1.6,2010
"Washington","S0802_C01_062",75.6,2010
"Washington","S0802_C01_063",18.2,2010
"Washington","S0802_C01_064",6.1,2010
"Washington","S0802_C01_065",0.1,2010
"Washington","S0802_C01_066",96.6,2010
"Washington","S0802_C01_067",81.2,2010
"Washington","S0802_C01_068",15.4,2010
"Washington","S0802_C01_069",3.4,2010
"Washington","S0802_C01_070",2883620,2010
"Washington","S0802_C01_071",5.7,2010
"Washington","S0802_C01_072",4.3,2010
"Washington","S0802_C01_073",5.6,2010
"Washington","S0802_C01_074",9.2,2010
"Washington","S0802_C01_075",10,2010
"Washington","S0802_C01_076",13.1,2010
"Washington","S0802_C01_077",12.4,2010
"Washington","S0802_C01_078",9.9,2010
"Washington","S0802_C01_079",5.6,2010
"Washington","S0802_C01_080",24.2,2010
"Washington","S0802_C01_081",13.4,2010
"Washington","S0802_C01_082",14.4,2010
"Washington","S0802_C01_083",15.6,2010
"Washington","S0802_C01_084",15.3,2010
"Washington","S0802_C01_085",6.1,2010
"Washington","S0802_C01_086",14,2010
"Washington","S0802_C01_087",6.5,2010
"Washington","S0802_C01_088",7.3,2010
"Washington","S0802_C01_089",7.4,2010
"Washington","S0802_C01_090",25.1,2010
"Washington","S0802_C01_091",3017021,2010
"Washington","S0802_C01_092",66.9,2010
"Washington","S0802_C01_093",33.1,2010
"Washington","S0802_C01_094",2.9,2010
"Washington","S0802_C01_095",20.5,2010
"Washington","S0802_C01_096",41.2,2010
"Washington","S0802_C01_097",35.5,2010
"Washington","S0802_C01_098",5,2010
"Washington","S0802_C01_099",10.6,2010
"Washington","S0802_C01_100",7.6,2010
"Washington","S0802_C01_101",1,2010
"Washington","S0802_C02_001",2225031,2010
"Washington","S0802_C02_002",2.7,2010
"Washington","S0802_C02_003",8.9,2010
"Washington","S0802_C02_004",44.1,2010
"Washington","S0802_C02_005",24.3,2010
"Washington","S0802_C02_006",10.2,2010
"Washington","S0802_C02_007",9.8,2010
"Washington","S0802_C02_008",42.4,2010
"Washington","S0802_C02_009",53.3,2010
"Washington","S0802_C02_010",46.7,2010
"Washington","S0802_C02_011",97,2010
"Washington","S0802_C02_012",82.2,2010
"Washington","S0802_C02_013",3,2010
"Washington","S0802_C02_014",1.1,2010
"Washington","S0802_C02_015",6.9,2010
"Washington","S0802_C02_016",0.6,2010
"Washington","S0802_C02_017",3.3,2010
"Washington","S0802_C02_018",3,2010
"Washington","S0802_C02_019",9.2,2010
"Washington","S0802_C02_020",76.9,2010
"Washington","S0802_C02_021",85.5,2010
"Washington","S0802_C02_022",14.5,2010
"Washington","S0802_C02_023",7.5,2010
"Washington","S0802_C02_024",7,2010
"Washington","S0802_C02_025",16.6,2010
"Washington","S0802_C02_026",9.4,2010
"Washington","S0802_C02_027",7.1,2010
"Washington","S0802_C02_028",2224973,2010
"Washington","S0802_C02_029",11.5,2010
"Washington","S0802_C02_030",6.6,2010
"Washington","S0802_C02_031",14.6,2010
"Washington","S0802_C02_032",13.8,2010
"Washington","S0802_C02_033",17.7,2010
"Washington","S0802_C02_034",13.1,2010
"Washington","S0802_C02_035",5.6,2010
"Washington","S0802_C02_036",17,2010
"Washington","S0802_C02_037",37081,2010
"Washington","S0802_C02_038",2220039,2010
"Washington","S0802_C02_039",5.2,2010
"Washington","S0802_C02_040",5.4,2010
"Washington","S0802_C02_041",89.5,2010
"Washington","S0802_C02_042",2225031,2010
"Washington","S0802_C02_043",37.5,2010
"Washington","S0802_C02_044",16.9,2010
