"","location","variable","estimate","year"
"1","Seattle city, Washington","S0802_C01_001",339160,2010
"2","Seattle city, Washington","S0802_C01_002",2,2010
"3","Seattle city, Washington","S0802_C01_003",9.5,2010
"4","Seattle city, Washington","S0802_C01_004",53.6,2010
"5","Seattle city, Washington","S0802_C01_005",17.4,2010
"6","Seattle city, Washington","S0802_C01_006",8.5,2010
"7","Seattle city, Washington","S0802_C01_007",8.9,2010
"8","Seattle city, Washington","S0802_C01_008",38.4,2010
"9","Seattle city, Washington","S0802_C01_009",51.6,2010
"10","Seattle city, Washington","S0802_C01_010",48.4,2010
"11","Seattle city, Washington","S0802_C01_011",NA,2010
"12","Seattle city, Washington","S0802_C01_012",74.7,2010
"13","Seattle city, Washington","S0802_C01_013",5.5,2010
"14","Seattle city, Washington","S0802_C01_014",0.7,2010
"15","Seattle city, Washington","S0802_C01_015",13.6,2010
"16","Seattle city, Washington","S0802_C01_016",NA,2010
"17","Seattle city, Washington","S0802_C01_017",1.4,2010
"18","Seattle city, Washington","S0802_C01_018",3.7,2010
"19","Seattle city, Washington","S0802_C01_019",5.3,2010
"20","Seattle city, Washington","S0802_C01_020",71.5,2010
"21","Seattle city, Washington","S0802_C01_021",83.1,2010
"22","Seattle city, Washington","S0802_C01_022",16.9,2010
"23","Seattle city, Washington","S0802_C01_023",9.4,2010
"24","Seattle city, Washington","S0802_C01_024",7.4,2010
"25","Seattle city, Washington","S0802_C01_025",19.9,2010
"26","Seattle city, Washington","S0802_C01_026",12.5,2010
"27","Seattle city, Washington","S0802_C01_027",7.3,2010
"28","Seattle city, Washington","S0802_C01_028",339160,2010
"29","Seattle city, Washington","S0802_C01_029",11.9,2010
"30","Seattle city, Washington","S0802_C01_030",6.1,2010
"31","Seattle city, Washington","S0802_C01_031",12.8,2010
"32","Seattle city, Washington","S0802_C01_032",12.2,2010
"33","Seattle city, Washington","S0802_C01_033",14.9,2010
"34","Seattle city, Washington","S0802_C01_034",12.9,2010
"35","Seattle city, Washington","S0802_C01_035",5,2010
"36","Seattle city, Washington","S0802_C01_036",24.1,2010
"37","Seattle city, Washington","S0802_C01_037",41104,2010
"38","Seattle city, Washington","S0802_C01_038",334108,2010
"39","Seattle city, Washington","S0802_C01_039",7.3,2010
"40","Seattle city, Washington","S0802_C01_040",4.9,2010
"41","Seattle city, Washington","S0802_C01_041",87.8,2010
"42","Seattle city, Washington","S0802_C01_042",339160,2010
"43","Seattle city, Washington","S0802_C01_043",54.9,2010
"44","Seattle city, Washington","S0802_C01_044",15.1,2010
"45","Seattle city, Washington","S0802_C01_045",19.8,2010
"46","Seattle city, Washington","S0802_C01_046",4.4,2010
"47","Seattle city, Washington","S0802_C01_047",5.8,2010
"48","Seattle city, Washington","S0802_C01_048",0.1,2010
"49","Seattle city, Washington","S0802_C01_049",0.4,2010
"50","Seattle city, Washington","S0802_C01_050",3.4,2010
"51","Seattle city, Washington","S0802_C01_051",7,2010
"52","Seattle city, Washington","S0802_C01_052",2.3,2010
"53","Seattle city, Washington","S0802_C01_053",10.8,2010
