month,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,"1,232","1,077","1,042","1,049",961,"1,018","1,018","1,159","1,149",993,"1,105",896,961,536,581,673
2,,"1,112",912,"1,043",952,847,888,"1,007","1,085","1,039",965,887,713,794,490,580,592
3,,"1,232","1,081","1,040","1,159","1,012",992,"1,115","1,194","1,242","1,122","1,014",840,550,586,693,695
4,,"1,208","1,143","1,027","1,074",944,"1,031","1,108","1,197","1,030","1,047","1,002",831,309,588,688,689
5,,"1,205","1,347","1,144","1,103","1,083",935,"1,254","1,207","1,082","1,054","1,016",951,431,647,765,716
6,,"1,209","1,211","1,093","1,226","1,094","1,058","1,160","1,220","1,075","1,090","1,041",992,515,717,733,703
7,,"1,209","1,254","1,143","1,048",993,"1,010","1,179","1,199","1,077","1,089","1,021",987,521,765,748,481
8,,"1,331","1,193","1,161","1,103","1,022",999,"1,165","1,214","1,141",983,"1,022",948,529,678,766,34
9,,"1,190","1,194","1,131","1,161",972,"1,133","1,167","1,170","1,091","1,095",985,947,546,744,715,25
10,,"1,377","1,434","1,402","1,174","1,323","1,102","1,380","1,346","1,392","1,196","1,138","1,062",612,775,748,17
11,,"1,348","1,258","1,224","1,126","1,113","1,108","1,173","1,263","1,208","1,222","1,071","1,035",556,763,708,1
12,,"1,167","1,056","1,074","1,080","1,150","1,094","1,255","1,229","1,134","1,082","1,061",908,615,714,680,
