month,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,"10,523","8,868","7,961","8,189","8,360","8,425","8,525","9,343","10,585","9,903","9,929","9,312","10,187","7,079","7,795","8,247"
2,,"8,384","7,057","7,137","7,681","7,012","6,635","8,488","8,111","8,773","9,467","9,055","8,952","8,328","6,990","7,538","7,410"
3,,"8,972","8,142","7,541","7,589","7,955","7,600","8,162","8,683","9,969","9,785","8,981","8,253","6,133","7,250","7,930","8,129"
4,,"8,343","7,729","7,640","7,625","7,040","7,406","8,047","8,646","8,663","8,843","8,789","8,186","3,695","7,418","8,036","7,880"
5,,"8,629","8,668","8,317","7,855","8,007","8,216","8,431","8,831","9,419","9,857","9,266","9,239","5,359","7,936","8,202","8,757"
6,,"8,759","8,170","7,998","7,979","7,819","8,181","8,301","9,896","10,020","9,689","9,434","9,148","6,430","8,734","8,501","8,655"
7,,"8,676","8,588","8,422","8,016","7,664","8,084","8,874","9,538","9,601","9,575","9,546","9,236","7,038","8,664","8,535","5,933"
8,,"9,141","8,397","8,625","8,383","8,105","8,518","8,742","9,525","10,195","9,511","9,357","9,106","7,500","8,409","8,786",830
9,,"8,699","8,788","8,626","8,548","7,872","8,942","9,142","9,646","10,269","10,118","9,450","9,445","7,462","9,392","8,665",789
10,,"9,894","9,451","9,629","9,098","10,133","8,944","10,645","11,071","11,955","11,211","11,008","10,531","7,923","10,076","9,462",749
11,,"9,749","9,451","10,557","9,322","9,397","9,441","10,260","11,341","10,935","11,457","10,731","10,102","7,762","10,350","9,733",26
12,,"10,723","9,693","9,419","8,659","10,244","9,376","10,056","12,431","11,995","11,736","10,531","10,204","8,528","11,009","10,088",
